customer_id,tenure_months,monthly_spend,support_tickets,contract_type,churn
1,51,99.62,2,Annual,0
2,54,102.63,2,Monthly,0
3,8,86.41,3,Monthly,0
4,27,93.3,0,Annual,0
5,27,99.68,2,Monthly,0
6,34,58.05,0,Annual,0
7,21,101.09,2,Annual,0
8,30,64.2,2,Annual,0
9,33,66.15,2,Annual,0
10,28,83.93,0,Monthly,0
11,47,37.12,1,Monthly,0
12,33,83.51,2,Monthly,0
13,5,99.64,2,Monthly,0
14,48,47.08,3,Monthly,0
15,19,101.78,1,Monthly,0
16,4,66.02,0,Monthly,0
17,35,84.14,1,Monthly,0
18,49,68.93,3,Annual,0
19,17,91.46,1,Annual,0
20,44,100.5,3,Monthly,0
21,28,92.94,1,Monthly,1
22,30,79.92,2,Annual,0
23,29,70.48,3,Monthly,1
24,46,78.61,0,Monthly,0
25,53,93.12,1,Monthly,1
26,6,93.81,4,Monthly,1
27,35,91.02,3,Monthly,0
28,41,54.35,3,Annual,0
29,37,79.54,2,Monthly,0
30,24,67.33,1,Annual,0
31,29,93.3,2,Monthly,0
32,49,64.7,2,Annual,0
33,46,89.04,3,Monthly,1
34,53,74.36,2,Monthly,0
35,31,42.42,0,Monthly,0
36,35,98.62,3,Annual,0
37,33,79.49,5,Annual,0
38,52,105.52,2,Monthly,0
39,21,46.69,3,Monthly,0
40,32,74.17,1,Annual,0
41,23,75.67,4,Annual,0
42,33,85.4,3,Annual,0
43,3,53.5,5,Monthly,1
44,18,90.88,2,Monthly,0
45,25,118.23,0,Monthly,0
46,42,89.49,3,Monthly,0
47,31,81.86,1,Monthly,0
48,54,52.45,0,Monthly,0
49,58,64.52,3,Monthly,0
50,3,78.88,2,Annual,0
51,40,69.4,2,Annual,1
52,46,100.53,2,Monthly,0
53,24,90.67,1,Monthly,0
54,50,133.85,3,Monthly,0
55,32,60.38,2,Annual,0
56,47,80.66,3,Monthly,0
57,22,52.33,5,Monthly,1
58,23,35.55,0,Monthly,1
59,2,94.45,0,Monthly,1
60,27,89.93,2,Monthly,0
61,42,62.91,3,Monthly,0
62,2,81.86,2,Annual,0
63,26,67.41,2,Monthly,0
64,17,70.12,3,Monthly,0
65,40,73.59,0,Monthly,0
66,33,62.07,1,Monthly,1
67,9,65.67,2,Monthly,0
68,43,66.23,3,Monthly,0
69,54,88.46,4,Monthly,0
70,48,24.52,4,Annual,0
71,39,75.45,4,Monthly,0
72,29,58.25,1,Monthly,0
73,42,58.97,2,Annual,0
74,55,69.49,4,Annual,1
75,26,79.71,1,Annual,0
76,35,75.71,1,Monthly,1
77,50,58.72,1,Monthly,1
78,25,94.43,0,Monthly,1
79,24,61.95,3,Annual,1
80,13,65.31,2,Monthly,0
81,58,85.69,2,Monthly,0
82,7,86.41,1,Annual,1
83,57,67.77,3,Annual,0
84,36,21.28,1,Annual,0
85,45,62.29,2,Annual,0
86,20,83.24,3,Annual,0
87,1,93.77,2,Monthly,1
88,8,78.41,3,Monthly,0
89,46,70.42,0,Monthly,0
90,16,125.86,2,Monthly,0
91,14,72.55,2,Monthly,0
92,12,92.24,1,Monthly,0
93,51,53.3,2,Monthly,1
94,23,58.2,1,Annual,0
95,15,92.95,4,Annual,0
96,28,100.89,0,Annual,0
97,34,72.21,0,Monthly,1
98,2,43.03,3,Annual,0
99,32,76.65,1,Monthly,0
100,23,83.79,3,Monthly,1
101,22,81.98,1,Annual,0
102,51,68.73,2,Monthly,0
103,25,76.94,1,Annual,0
104,58,65.0,3,Monthly,0
105,22,57.76,0,Annual,1
106,58,95.11,2,Monthly,0
107,58,81.96,1,Monthly,0
108,22,76.99,4,Monthly,0
109,49,69.86,1,Monthly,0
110,52,76.4,4,Monthly,0
111,42,83.21,5,Monthly,0
112,6,114.57,3,Monthly,1
113,15,93.09,0,Annual,0
114,54,66.67,3,Monthly,0
115,43,66.88,0,Monthly,1
116,37,63.77,1,Annual,0
117,33,75.99,4,Monthly,0
118,8,63.75,2,Monthly,1
119,53,89.5,1,Monthly,0
120,44,27.13,1,Monthly,0
121,44,90.7,0,Annual,0
122,5,85.51,3,Monthly,0
123,39,105.25,1,Annual,0
124,4,97.54,2,Annual,0
125,6,66.33,4,Annual,1
126,45,95.29,1,Annual,0
127,32,76.64,1,Monthly,0
128,52,41.31,4,Annual,0
129,30,83.18,1,Annual,0
130,47,67.51,5,Monthly,1
131,35,80.0,3,Annual,0
132,55,113.03,2,Annual,0
133,40,84.5,0,Monthly,0
134,52,59.65,2,Monthly,0
135,16,99.29,3,Monthly,0
136,13,87.25,3,Annual,1
137,50,57.3,1,Monthly,1
138,42,47.88,2,Annual,0
139,30,60.45,0,Monthly,0
140,19,96.73,1,Monthly,1
141,17,73.97,4,Annual,0
142,56,81.62,3,Annual,0
143,19,53.23,1,Annual,0
144,28,97.26,1,Annual,0
145,58,39.7,0,Monthly,0
146,55,66.89,3,Monthly,1
147,26,88.37,1,Monthly,1
148,37,57.55,1,Annual,0
149,26,92.28,1,Annual,0
150,53,62.62,1,Monthly,0
151,23,55.48,0,Monthly,0
152,9,105.73,1,Annual,0
153,12,83.08,2,Monthly,0
154,53,90.38,0,Monthly,1
155,1,100.36,2,Monthly,1
156,58,27.61,2,Monthly,0
157,58,92.7,0,Annual,0
158,1,64.78,4,Monthly,1
159,47,67.41,1,Annual,0
160,34,88.75,2,Monthly,0
161,32,72.74,3,Monthly,0
162,54,91.89,2,Monthly,1
163,48,79.18,1,Monthly,0
164,25,83.36,2,Monthly,0
